Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BCM,ACM,Change,Change_Percent,Direction
BCM_vs_ACM,Gamma,22,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,684196.5993761594,747072.2314880082,62875.6321118488,9.18970251667107,Increase
BCM_vs_ACM,Gamma,22,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.4005516177271331,0.3956283292868341,-0.00492328844029899,-1.22912708934629,Decrease
BCM_vs_ACM,Gamma,22,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1738863.137738412,1904981.483468272,166118.34572986,9.553273177434521,Increase
BCM_vs_ACM,Gamma,22,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.317886063662882,1.316898015366885,-0.0009880482959969683,-0.07497220914916004,Decrease
BCM_vs_ACM,Gamma,22,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6701668682617878,0.6720277145455087,0.0018608462837208517,0.27766909583986593,Increase
BCM_vs_ACM,Gamma,22,TP9,EN,Entropy,RAW_TP9_EN,5.408341390116823,5.40610769232358,-0.002233697793243117,-0.041300976253550954,Decrease
BCM_vs_ACM,Gamma,22,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,668481.2827546523,661220.3749135666,-7260.907841085689,-1.0861796774870367,Decrease
BCM_vs_ACM,Gamma,22,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3923458365594105,0.40026032813524,0.007914491575829463,2.017223285771001,Increase
BCM_vs_ACM,Gamma,22,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1702855.6019522983,1637880.1795871535,-64975.42236514483,-3.8156742292565196,Decrease
BCM_vs_ACM,Gamma,22,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.3146606875161235,1.3092792567601683,-0.005381430755955208,-0.4093399009384471,Decrease
BCM_vs_ACM,Gamma,22,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.6704364880079637,0.6728683263981227,0.0024318383901589247,0.36272464784614145,Increase
BCM_vs_ACM,Gamma,25,AF7,EN,Entropy,RAW_AF7_EN,5.415325037729471,5.406020567810018,-0.009304469919452885,-0.17181738593024598,Decrease
BCM_vs_ACM,Gamma,25,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,651321.074385537,674416.8994060092,23095.825020472286,3.5459968867522256,Increase
BCM_vs_ACM,Gamma,25,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.4054854188503011,0.4045980223199309,-0.000887396530370177,-0.21884795090444173,Decrease
BCM_vs_ACM,Gamma,25,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1641770.582196534,1674001.7394620045,32231.157265470596,1.9631949564078772,Increase
BCM_vs_ACM,Gamma,25,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.305229576089491,1.304996918920906,-0.00023265716858489327,-0.017824999743105842,Decrease
BCM_vs_ACM,Gamma,25,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6796464498028739,0.678296116676766,-0.0013503331261078833,-0.19868170083129788,Decrease
BCM_vs_ACM,Gamma,25,AF8,EN,Entropy,RAW_AF8_EN,5.419577827055941,5.410205355070173,-0.009372471985768627,-0.1729373077544677,Decrease
BCM_vs_ACM,Gamma,25,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,485674.1645189041,657530.3619488219,171856.1974299178,35.38508118918658,Increase
