Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BF,AF,Change,Change_Percent,Direction
BF_vs_AF,Gamma,22,AF8,HJ,Hjorth Mobility,RAW_AF8_HJ_Mobility,0.6643472507200998,0.6714957948566347,0.007148544136534873,1.0760252456507373,Increase
BF_vs_AF,Gamma,22,TP10,EN,Entropy,RAW_TP10_EN,5.409035359310842,5.4068555638777696,-0.002179795433072229,-0.04029915295931721,Decrease
BF_vs_AF,Gamma,22,TP10,BP,Gamma Band Power,RAW_TP10_BP_Gamma,644183.9241288137,658525.0560776596,14341.131948845927,2.2262480344011526,Increase
BF_vs_AF,Gamma,22,TP10,RP,Gamma Relative Power,RAW_TP10_RP_Gamma,0.4063021732031114,0.3848574330414688,-0.021444740161642606,-5.278027432780265,Decrease
BF_vs_AF,Gamma,22,TP10,HJ,Hjorth Activity,RAW_TP10_HJ_Activity,1636093.9010285698,1739641.852178242,103547.95114967227,6.328973605034182,Increase
BF_vs_AF,Gamma,22,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.308827733550404,1.3281200269605569,0.019292293410152928,1.4740131887196113,Increase
BF_vs_AF,Gamma,22,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6745641807758191,0.6657228794667167,-0.008841301309102434,-1.3106686600130495,Decrease
BF_vs_AF,Gamma,22,TP9,EN,Entropy,RAW_TP9_EN,5.406990350594206,5.402522473871427,-0.0044678767227788185,-0.08263149059046901,Decrease
BF_vs_AF,Gamma,22,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,624497.3226922476,679389.060058912,54891.737366664456,8.789747429183954,Increase
BF_vs_AF,Gamma,22,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.3947230555340357,0.4058054660980281,0.011082410563992395,2.8076420691967394,Increase
BF_vs_AF,Gamma,22,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1638952.4192935396,1744541.9736098754,105589.55431633582,6.442502727556273,Increase
BF_vs_AF,Gamma,22,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.3155622984493376,1.3135275167795943,-0.0020347816697432464,-0.1546701111868026,Decrease
BF_vs_AF,Gamma,22,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.665427204093713,0.6697885386410947,0.0043613345473816345,0.6554187325902326,Increase
BF_vs_AF,Gamma,25,AF7,EN,Entropy,RAW_AF7_EN,5.423865368834775,5.414116139880103,-0.00974922895467234,-0.1797468832963823,Decrease
BF_vs_AF,Gamma,25,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,544905.9787174363,530344.7018772466,-14561.276840189705,-2.672254922668141,Decrease
BF_vs_AF,Gamma,25,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.4080886961590361,0.4037322221111474,-0.004356474047888692,-1.0675311737110533,Decrease
BF_vs_AF,Gamma,25,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1356492.273348339,1304855.7037659702,-51636.56958236871,-3.8066246743086873,Decrease
BF_vs_AF,Gamma,25,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.313481431929964,1.307222578956316,-0.0062588529736478105,-0.4765086754558353,Decrease
BF_vs_AF,Gamma,25,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6738269908371872,0.6773887159438623,0.0035617251066750732,0.5285815432014465,Increase
BF_vs_AF,Gamma,25,AF8,EN,Entropy,RAW_AF8_EN,5.404979743744688,5.411669395498806,0.006689651754117953,0.1237683038842106,Increase
BF_vs_AF,Gamma,25,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,773630.2723308676,815408.7104435416,41778.43811267405,5.400310666075664,Increase
BF_vs_AF,Gamma,25,AF8,RP,Gamma Relative Power,RAW_AF8_RP_Gamma,0.4048780760050862,0.4008873192960256,-0.003990756709060572,-0.985668759454004,Decrease
BF_vs_AF,Gamma,25,AF8,HJ,Hjorth Activity,RAW_AF8_HJ_Activity,1964561.2630251504,2028130.0803474905,63568.817322340095,3.2357767873552072,Increase
BF_vs_AF,Gamma,25,AF8,HJ,Hjorth Complexity,RAW_AF8_HJ_Complexity,1.3083105311510588,1.3080495287394145,-0.0002610024116442844,-0.01994957660507808,Decrease
