Condition_Pair,Band,Subject,Channel,Feature_Type,Feature,Source_Column,BCF,ACF,Change,Change_Percent,Direction
BCF_vs_ACF,Gamma,22,TP10,HJ,Hjorth Complexity,RAW_TP10_HJ_Complexity,1.307272197485073,1.315774524244092,0.008502326759018963,0.6503868724031399,Increase
BCF_vs_ACF,Gamma,22,TP10,HJ,Hjorth Mobility,RAW_TP10_HJ_Mobility,0.6737542887338601,0.6705214535400265,-0.003232835193833661,-0.47982406166332603,Decrease
BCF_vs_ACF,Gamma,22,TP9,EN,Entropy,RAW_TP9_EN,5.400342259335183,5.406839111833384,0.0064968524982012,0.12030445824004134,Increase
BCF_vs_ACF,Gamma,22,TP9,BP,Gamma Band Power,RAW_TP9_BP_Gamma,633473.3886816659,665963.1267467448,32489.73806507897,5.128824453493463,Increase
BCF_vs_ACF,Gamma,22,TP9,RP,Gamma Relative Power,RAW_TP9_RP_Gamma,0.398566164704797,0.4038549308102235,0.005288766105426501,1.3269480888684297,Increase
BCF_vs_ACF,Gamma,22,TP9,HJ,Hjorth Activity,RAW_TP9_HJ_Activity,1658241.486344054,1683459.50348071,25218.01713665598,1.5207686784060903,Increase
BCF_vs_ACF,Gamma,22,TP9,HJ,Hjorth Complexity,RAW_TP9_HJ_Complexity,1.3130316449515238,1.3050486951100948,-0.007982949841428999,-0.607978480345287,Decrease
BCF_vs_ACF,Gamma,22,TP9,HJ,Hjorth Mobility,RAW_TP9_HJ_Mobility,0.6710475195890016,0.674186401484562,0.0031388818955604414,0.4677585124646495,Increase
BCF_vs_ACF,Gamma,25,AF7,EN,Entropy,RAW_AF7_EN,5.41429445480983,5.405970866425951,-0.008323588383878366,-0.1537335742145321,Decrease
BCF_vs_ACF,Gamma,25,AF7,BP,Gamma Band Power,RAW_AF7_BP_Gamma,655507.7969687288,601514.0655029032,-53993.73146582558,-8.236931996157686,Decrease
BCF_vs_ACF,Gamma,25,AF7,RP,Gamma Relative Power,RAW_AF7_RP_Gamma,0.3998712888915053,0.4035316644395268,0.0036603755480215106,0.9153884386569845,Increase
BCF_vs_ACF,Gamma,25,AF7,HJ,Hjorth Activity,RAW_AF7_HJ_Activity,1664368.607323164,1513240.109547007,-151128.497776157,-9.080230011020207,Decrease
BCF_vs_ACF,Gamma,25,AF7,HJ,Hjorth Complexity,RAW_AF7_HJ_Complexity,1.3073534998232057,1.3079583268535198,0.000604827030314059,0.04626346511451189,Increase
BCF_vs_ACF,Gamma,25,AF7,HJ,Hjorth Mobility,RAW_AF7_HJ_Mobility,0.6773984959783012,0.6757472461903082,-0.0016512497879929144,-0.24376342696305725,Decrease
BCF_vs_ACF,Gamma,25,AF8,EN,Entropy,RAW_AF8_EN,5.413980311701489,5.399793056178493,-0.014187255522996267,-0.26204852449006305,Decrease
BCF_vs_ACF,Gamma,25,AF8,BP,Gamma Band Power,RAW_AF8_BP_Gamma,611843.5824926372,696912.7666499177,85069.18415728048,13.903747067299541,Increase
